timestamp,generation,storage,temperature,soc,voltage
2025-09-24T22:00:00,7.8,3.17,18.5,63.5,215.4
2025-09-24T22:10:00,7.1,3.1,6.5,61.9,243.0
2025-09-24T22:20:00,0.0,3.02,4.0,60.5,236.4
2025-09-24T22:30:00,0.0,2.96,10.7,59.2,240.4
2025-09-24T22:40:00,3.3,2.88,4.6,57.7,242.2
2025-09-24T22:50:00,3.0,2.81,12.0,56.3,240.0
2025-09-24T23:00:00,0.0,2.75,3.9,55.0,244.0
2025-09-24T23:10:00,0.0,2.69,3.6,53.8,243.5
2025-09-24T23:20:00,5.7,2.61,4.9,52.3,233.7
2025-09-24T23:30:00,0.0,2.54,12.1,50.9,243.5
2025-09-24T23:40:00,0.0,2.47,14.1,49.4,242.1
2025-09-24T23:50:00,8.5,2.42,11.3,48.3,240.5
2025-09-25T00:00:00,10.3,2.35,9.8,47.1,238.9
2025-09-25T00:10:00,0.0,2.3,11.5,45.9,246.2
2025-09-25T00:20:00,0.0,2.23,0.0,44.5,237.2
2025-09-25T00:30:00,0.0,2.16,23.3,43.1,240.8
2025-09-25T00:40:00,0.0,2.09,5.9,41.8,244.4
2025-09-25T00:50:00,0.0,2.02,2.5,40.3,243.3
2025-09-25T01:00:00,0.0,1.94,18.1,38.8,239.9
2025-09-25T01:10:00,23.4,1.89,9.0,37.8,239.8
2025-09-25T01:20:00,7.5,1.83,0.0,36.7,240.2
2025-09-25T01:30:00,0.0,1.76,6.1,35.2,235.4
2025-09-25T01:40:00,3.4,1.69,21.7,33.8,243.2
2025-09-25T01:50:00,0.0,1.63,13.2,32.5,242.0
2025-09-25T02:00:00,0.0,1.55,12.4,31.0,239.5
2025-09-25T02:10:00,8.0,1.48,13.7,29.6,237.7
2025-09-25T02:20:00,0.0,1.41,8.9,28.3,238.7
2025-09-25T02:30:00,0.0,1.35,9.6,27.0,236.1
2025-09-25T02:40:00,0.0,1.29,11.1,25.8,239.3
2025-09-25T02:50:00,0.0,1.22,13.9,24.4,229.7
2025-09-25T03:00:00,0.0,1.16,15.7,23.1,229.0
2025-09-25T03:10:00,0.0,1.07,16.0,21.4,223.3
2025-09-25T03:20:00,0.0,1.0,15.5,20.0,218.0
2025-09-25T03:30:00,0.0,0.92,20.2,18.4,212.0
2025-09-25T03:40:00,11.9,0.86,19.3,17.2,215.3
2025-09-25T03:50:00,1.9,0.79,19.9,15.8,212.7
2025-09-25T04:00:00,0.0,0.73,13.4,14.5,207.0
2025-09-25T04:10:00,0.0,0.66,20.1,13.1,206.1
2025-09-25T04:20:00,0.0,0.59,12.2,11.8,201.9
2025-09-25T04:30:00,0.0,0.55,19.3,11.0,200.0
2025-09-25T04:40:00,0.0,0.48,16.9,9.6,197.9
2025-09-25T04:50:00,0.0,0.42,29.6,8.4,200.0
2025-09-25T05:00:00,2.1,0.35,22.8,7.1,192.3
2025-09-25T05:10:00,9.1,0.29,26.6,5.8,193.4
2025-09-25T05:20:00,0.0,0.22,25.1,4.5,190.7
2025-09-25T05:30:00,0.0,0.14,29.0,2.9,184.5
2025-09-25T05:40:00,0.0,0.1,29.3,2.0,187.3
2025-09-25T05:50:00,3.7,0.1,29.2,2.0,183.4
